iso3c,country,SPI.D3.AKI_2016,SPI.D3.AKI_2017,SPI.D3.AKI_2018,SPI.D3.AKI_2019
LAO,Lao PDR,46.1764705882353,47.05882352941177,47.05882352941177,43.23529411764706
LBN,Lebanon,45.294117647058826,38.529411764705884,39.411764705882355,37.05882352941177
LBR,Liberia,62.64705882352941,60.294117647058826,59.411764705882355,52.94117647058823
LBY,Libya,17.058823529411764,17.058823529411764,17.058823529411764,14.705882352941176
LCA,St. Lucia,55.294117647058826,55.294117647058826,50.588235294117645,43.8235294117647
LIE,Liechtenstein,17.647058823529413,17.647058823529413,17.647058823529413,15.294117647058824
LKA,Sri Lanka,70.88235294117646,70.88235294117646,65.29411764705883,58.8235294117647
LSO,Lesotho,51.17647058823529,50.588235294117645,51.470588235294116,47.352941176470594
LTU,Lithuania,70,70,70,67.6470588235294
LUX,Luxembourg,64.41176470588235,66.17647058823529,66.17647058823529,60.88235294117647
LVA,Latvia,68.23529411764706,70,70,67.6470588235294
MAC,"Macao SAR, China",42.94117647058823,42.94117647058823,42.94117647058823,40.588235294117645
MAF,St. Martin (French part),0,0,0,0
MAR,Morocco,64.11764705882354,61.470588235294116,61.470588235294116,58.23529411764706
MCO,Monaco,8.529411764705882,7.647058823529412,7.647058823529412,7.647058823529412
MDA,Moldova,74.11764705882354,74.11764705882354,74.11764705882354,71.76470588235294
MDG,Madagascar,49.411764705882355,47.352941176470594,44.705882352941174,42.35294117647059
MDV,Maldives,47.352941176470594,45,44.11764705882353,37.94117647058823
MEX,Mexico,86.17647058823529,86.17647058823529,83.82352941176471,79.70588235294117
MHL,Marshall Islands,31.176470588235293,25.294117647058822,25.294117647058822,22.941176470588236
MKD,North Macedonia,74.11764705882354,74.11764705882354,72.94117647058823,65.58823529411765
MLI,Mali,47.352941176470594,46.1764705882353,42.94117647058823,40.588235294117645
MLT,Malta,62.94117647058823,62.94117647058823,62.94117647058823,59.705882352941174
MMR,Myanmar,46.1764705882353,51.17647058823529,52.647058823529406,50.29411764705883
MNE,Montenegro,72.94117647058823,72.05882352941177,72.05882352941177,67.94117647058823
