iso3c,country,SPI_2016,SPI_2017,SPI_2018,SPI_2019,SPI.D1.MSC_2016,SPI.D1.MSC_2017,SPI.D1.MSC_2018,SPI.D1.MSC_2019,SPI.D2.CS_2016,SPI.D2.CS_2017,SPI.D2.CS_2018,SPI.D2.CS_2019,SPI.D3.AKI_2016,SPI.D3.AKI_2017,SPI.D3.AKI_2018,SPI.D3.AKI_2019,SPI.D4.DPO_2016,SPI.D4.DPO_2017,SPI.D4.DPO_2018,SPI.D4.DPO_2019
EGY,"Egypt, Arab Rep.",72.02380952380952,68.37797619047619,75.59523809523809,NA,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,50,43.75,50,50,100,91.66666666666667,100,NA,71.42857142857143,71.42857142857143,85.71428571428571,85.71428571428571
ERI,Eritrea,13.541666666666668,13.541666666666668,12.291666666666668,NA,8.333333333333332,8.333333333333332,8.333333333333332,8.333333333333332,12.5,12.5,7.5,7.5,33.333333333333336,33.333333333333336,33.333333333333336,NA,0,0,0,0
ESP,Spain,91.2202380952381,91.2202380952381,91.2202380952381,NA,87.5,87.5,87.5,NA,100,100,100,NA,91.66666666666667,91.66666666666667,91.66666666666667,NA,85.71428571428571,85.71428571428571,85.71428571428571,NA
EST,Estonia,90.17857142857143,88.0952380952381,91.66666666666667,NA,83.33333333333334,83.33333333333334,83.33333333333334,NA,100,100,100,NA,91.66666666666667,83.33333333333333,83.33333333333333,NA,85.71428571428571,85.71428571428571,100,NA
ETH,Ethiopia,44.7172619047619,42.63392857142857,53.86904761904761,NA,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,56.25,56.25,50,45,91.66666666666667,83.33333333333333,91.66666666666667,NA,14.285714285714285,14.285714285714285,57.14285714285714,57.14285714285714
FIN,Finland,86.60714285714286,86.60714285714286,93.75,NA,91.66666666666666,91.66666666666666,91.66666666666666,NA,100,100,100,NA,83.33333333333333,83.33333333333333,83.33333333333333,NA,71.42857142857143,71.42857142857143,100,NA
FJI,Fiji,49.53869047619047,51.51785714285714,65.35714285714286,NA,37.5,50,54.166666666666664,50,48.75,52.5,52.5,43.75,83.33333333333333,75,83.33333333333333,NA,28.57142857142857,28.57142857142857,71.42857142857143,85.71428571428571
FRA,France,88.09523809523809,88.09523809523809,91.66666666666666,NA,91.66666666666666,91.66666666666666,91.66666666666666,NA,100,100,100,NA,75,75,75,NA,85.71428571428571,85.71428571428571,100,NA
FSM,"Micronesia, Fed. Sts.",34.85119047619048,34.95535714285714,34.360119047619044,NA,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,27.500000000000004,36.25,36.25,32.5,66.66666666666667,58.333333333333336,41.666666666666664,NA,28.57142857142857,28.57142857142857,42.857142857142854,42.857142857142854
GAB,Gabon,30.44642857142857,30.44642857142857,33.467261904761905,NA,20.833333333333336,20.833333333333336,20.833333333333336,20.833333333333336,20,20,23.75,23.75,66.66666666666667,66.66666666666667,75,NA,14.285714285714285,14.285714285714285,14.285714285714285,28.57142857142857
GBR,United Kingdom,86.01190476190476,88.0952380952381,91.66666666666667,NA,75,83.33333333333334,83.33333333333334,NA,100,100,100,NA,83.33333333333333,83.33333333333333,83.33333333333333,NA,85.71428571428571,85.71428571428571,100,NA
GEO,Georgia,76.08630952380952,76.08630952380952,76.08630952380952,NA,79.16666666666666,79.16666666666666,79.16666666666666,79.16666666666666,53.75,53.75,53.75,53.75,100,100,100,NA,71.42857142857143,71.42857142857143,71.42857142857143,85.71428571428571
GHA,Ghana,53.839285714285715,53.63095238095239,64.3452380952381,NA,41.66666666666667,37.5,37.5,45.83333333333333,47.5,42.5,42.5,55.00000000000001,83.33333333333333,91.66666666666667,91.66666666666667,NA,42.857142857142854,42.857142857142854,85.71428571428571,85.71428571428571
GIN,Guinea,33.988095238095234,34.925595238095234,46.19047619047619,NA,8.333333333333332,8.333333333333332,8.333333333333332,16.666666666666664,30,33.75,30,30,83.33333333333333,83.33333333333333,75,NA,14.285714285714285,14.285714285714285,71.42857142857143,71.42857142857143
